Country,Population_2024,Population_2014
Afghanistan,42647492.0,31280518.0
Albania,2791765.0,3185413.0
Algeria,46814308.0,39928947.0
American Samoa,46765.0,
Andorra,81938.0,
Angola,37885849.0,22137261.0
Anguilla,14598.0,
Antigua and Barbuda,93772.0,90903.0
Argentina,45696159.0,41803125.0
Armenia,2973840.0,2983990.0
Aruba,108066.0,103431.0
Australia,26713205.0,23630169.0
Austria,9120813.0,8526429.0
Azerbaijan,10336577.0,9514887.0
Bahamas,401283.0,382571.0
Bahrain,1607049.0,1344111.0
Bangladesh,173562364.0,158512570.0
Barbados,282467.0,286066.0
Belarus,9056696.0,9307609.0
Belgium,11738763.0,11144420.0
Belize,417072.0,339758.0
Benin,14462724.0,10599510.0
Bermuda,64636.0,
Bhutan,791524.0,765552.0
Bolivia,12413315.0,10847664.0
Bosnia and Herzegovina,3164253.0,3824746.0
Botswana,2521139.0,2038587.0
Brazil,211998573.0,202033670.0
British Virgin Islands,39471.0,
Brunei,462721.0,423205.0
Bulgaria,6757689.0,7167998.0
Burkina Faso,23548781.0,17419615.0
Burma,,53718958.0
Burundi,14047786.0,10482752.0
Cabo Verde,524877.0,
Cambodia,17638801.0,15408270.0
Cameroon,29123744.0,22818632.0
Canada,39742430.0,35524732.0
Cape Verde,,503637.0
Caribbean Netherlands,30675.0,
Cayman Islands,74457.0,
Central African Republic,5330690.0,4709203.0
Chad,20299123.0,13211146.0
Channel Islands,,162778.0
Chile,19764771.0,17772871.0
China,1419321278.0,1393783836.0
Colombia,52886363.0,48929706.0
Comoros,866628.0,752438.0
Congo,6332961.0,69360118.0
Congo,6332961.0,4558594.0
Cook Islands,13729.0,
Costa Rica,5129910.0,4937755.0
Croatia,3875325.0,4272044.0
Cuba,10979783.0,11258597.0
Curaçao,185482.0,161836.0
Cyprus,1358282.0,1153058.0
Czech Republic,,10740468.0
Czech Republic (Czechia),10735859.0,
Côte d'Ivoire,31934230.0,20804774.0
DR Congo,109276265.0,
Denmark,5977412.0,5640184.0
Djibouti,1168722.0,886313.0
Dominica,66205.0,
Dominican Republic,11427557.0,10528954.0
Ecuador,18135478.0,15982551.0
Egypt,116538258.0,83386739.0
El Salvador,6338193.0,6383752.0
Equatorial Guinea,1892516.0,778061.0
Eritrea,3535603.0,6536176.0
Estonia,1360546.0,1283771.0
Eswatini,1242822.0,
Ethiopia,132059767.0,96506031.0
Faeroe Islands,55400.0,
Falkland Islands,3470.0,
Fiji,928784.0,887027.0
Finland,5617310.0,5443497.0
France,66548530.0,64641279.0
French Guiana,308522.0,255455.0
French Polynesia,281807.0,279835.0
Gabon,2538952.0,1711294.0
Gambia,2759988.0,1908954.0
Georgia,3807670.0,4322842.0
Germany,84552242.0,82652256.0
Ghana,34427414.0,26442178.0
Gibraltar,39329.0,
Greece,10047817.0,11128404.0
Greenland,55840.0,
Grenada,117207.0,106303.0
Guadeloupe,375106.0,468016.0
Guam,167777.0,167546.0
Guatemala,18406359.0,15859714.0
Guinea,14754785.0,12043898.0
Guinea-Bissau,2201352.0,1745798.0
Guyana,831087.0,803677.0
Haiti,11772557.0,10461409.0
Holy See,496.0,
Honduras,10825703.0,8260749.0
Hong Kong,7414909.0,7259569.0
Hungary,9676135.0,9933173.0
Iceland,393396.0,333135.0
India,1450935791.0,1267401849.0
Indonesia,283487931.0,252812245.0
Iran,91567738.0,78470222.0
Iraq,46042015.0,34768761.0
Ireland,5255017.0,4677340.0
Isle of Man,84160.0,
Israel,9387021.0,7822107.0
Italy,59342867.0,61070224.0
Jamaica,2839175.0,2798837.0
Japan,123753041.0,126999808.0
Jordan,11552876.0,7504812.0
Kazakhstan,20592571.0,16606878.0
Kenya,56432944.0,45545980.0
Kiribati,134518.0,103942.0
Kuwait,4934507.0,3479371.0
Kyrgyzstan,7186009.0,5625015.0
Laos,7769819.0,6894098.0
Latvia,1871871.0,2041111.0
Lebanon,5805962.0,4965914.0
Lesotho,2337423.0,2097511.0
Liberia,5612817.0,4396873.0
Libya,7381023.0,6253452.0
Liechtenstein,39870.0,
Lithuania,2859110.0,3008287.0
Luxembourg,673036.0,536761.0
Macao,720262.0,
Macau,,575481.0
Macedonia,,2108434.0
Madagascar,31964956.0,23571962.0
Malawi,21655286.0,16829144.0
Malaysia,35557673.0,30187896.0
Maldives,527799.0,351572.0
Mali,24478595.0,15768227.0
Malta,539607.0,430146.0
Marshall Islands,37548.0,
Martinique,343195.0,404705.0
Mauritania,5169395.0,3984457.0
Mauritius,1271169.0,1249151.0
Mayotte,326505.0,228070.0
Mexico,130861007.0,123799215.0
Micronesia,526923.0,103903.0
Moldova,3034961.0,3461380.0
Monaco,38631.0,
Mongolia,3475540.0,2881415.0
Montenegro,638479.0,621542.0
Montserrat,4389.0,
Morocco,38081173.0,33492909.0
Mozambique,34631766.0,26472977.0
Myanmar,54500091.0,
Namibia,3030131.0,2347988.0
Nauru,11947.0,
Nepal,29651054.0,28120740.0
Netherlands,18228742.0,16802463.0
New Caledonia,292639.0,259824.0
New Zealand,5213944.0,4551349.0
Nicaragua,6916140.0,6169269.0
Niger,27032412.0,18534802.0
Nigeria,232679478.0,178516904.0
Niue,1819.0,
North Korea,26498823.0,25026588.0
North Macedonia,1823009.0,
Northern Mariana Islands,44278.0,
Norway,5576660.0,5091924.0
Oman,5281538.0,3926492.0
Pakistan,251269164.0,185132926.0
Palau,17695.0,
Panama,4515577.0,3926017.0
Papua New Guinea,10576502.0,7476108.0
Paraguay,6929153.0,6917579.0
Peru,34217848.0,30769077.0
Philippines,115843670.0,100096496.0
Poland,38539201.0,38220543.0
Portugal,10425292.0,10610304.0
Puerto Rico,3242204.0,3683601.0
Qatar,3048423.0,2267916.0
Romania,19015088.0,21640168.0
Russia,144820423.0,142467651.0
Rwanda,14256567.0,12100049.0
Réunion,878591.0,885328.0
Saint Barthelemy,11258.0,
Saint Helena,5237.0,
Saint Kitts & Nevis,46843.0,
Saint Lucia,179744.0,183598.0
Saint Martin,26129.0,
Saint Pierre & Miquelon,5628.0,
Saint Vincent and the Grenadines,,109371.0
Samoa,218019.0,191831.0
San Marino,33581.0,
Sao Tome & Principe,235536.0,
Sao Tome and Principe,,197882.0
Saudi Arabia,33962757.0,29369428.0
Senegal,18501984.0,14548171.0
Serbia,6736216.0,9468378.0
Seychelles,130418.0,93306.0
Sierra Leone,8642022.0,6205382.0
Singapore,5832387.0,5517102.0
Sint Maarten,43350.0,
Slovakia,5506760.0,5454154.0
Slovenia,2118697.0,2075592.0
Solomon Islands,819198.0,572865.0
Somalia,19009151.0,10805651.0
South Africa,64007187.0,53139528.0
South Korea,51717590.0,49512026.0
South Sudan,11943408.0,11738718.0
Spain,47910526.0,47066402.0
Sri Lanka,23103565.0,21445775.0
St. Vincent & Grenadines,100616.0,
State of Palestine,5495443.0,4436411.0
Sudan,50448963.0,38764090.0
Suriname,634431.0,543925.0
Swaziland,,1267704.0
Sweden,10606999.0,9631261.0
Switzerland,8921981.0,8157896.0
Syria,24672760.0,21986615.0
Taiwan,23213962.0,
Tajikistan,10590927.0,8408947.0
Tanzania,68560157.0,50757459.0
Thailand,71668011.0,67222972.0
Timor-Leste,1400638.0,1152439.0
Togo,9515236.0,6993244.0
Tokelau,2506.0,
Tonga,104175.0,105782.0
Trinidad and Tobago,1507782.0,1344235.0
Tunisia,12277109.0,11116899.0
Turkey,87473805.0,75837020.0
Turkmenistan,7494498.0,5307171.0
Turks and Caicos,46535.0,
Tuvalu,9646.0,
U. K.,,63489234.0
U.S. Virgin Islands,84905.0,
U.S.A.,,322583006.0
Uganda,50015092.0,38844624.0
Ukraine,37860221.0,44941303.0
United Arab Emirates,11027129.0,9445624.0
United Kingdom,69138192.0,
United States,345426571.0,
United States Virgin Islands,,106792.0
Uruguay,3386588.0,3418694.0
Uzbekistan,36361859.0,29324920.0
Vanuatu,327777.0,258301.0
Venezuela,28405543.0,30851343.0
Vietnam,100987686.0,92547959.0
Wallis & Futuna,11277.0,
Western Sahara,590506.0,585646.0
Yemen,40583164.0,24968508.0
Zambia,21314956.0,15021002.0
Zimbabwe,16634373.0,14599325.0
